"Type","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011"
HOMICIDES,673,649,587,597,570,539,596,496,523,471,536,515
RAPE,2068,1981,2144,2070,1905,1858,1525,1351,1299,1205,1373,1420
ROBBERY,32562,28202,27229,25989,24373,24722,23739,21809,22401,18601,19486,19717
FELONY ASSAULT,25924,23453,21147,19139,18622,17750,17309,17493,16284,16773,16956,18482
BURGLARY,38352,32763,31275,29110,26976,24117,23143,21762,20725,19430,18600,18720
GRAND LARCENY,49631,46329,45771,46751,48763,48243,46625,44924,44242,39580,37835,38501
GRAND THEFT AUTO,35442,29531,26656,23413,20884,18246,15745,13174,12482,10670,10329,9314
