name,lines,type,latitude,longitude
BLEECKER ST,6DF,IRT,40.725665,-73.995645
23 ST,1,IRT,40.744071,-73.995624
23 ST,1,IRT,40.744071,-73.995624
55 ST,D,BMT,40.631412,-73.995473
CARROLL ST,FG,IND,40.680231,-73.99498
CARROLL ST,FG,IND,40.680231,-73.99498
50 ST,D,BMT,40.636232,-73.994765
9 AVE,D,BMT,40.646343,-73.994551
FT HAMILTON PKY,D,BMT,40.640872,-73.994229
GRAND ST,BD,IND,40.718542,-73.994164
BOWERY,JZ,BMT,40.720315,-73.994014
BAY PARKWAY,D,BMT,40.601898,-73.993821
34 ST-PENN STA,ACE,IND,40.752247,-73.993456
34 ST-PENN STA,ACE,IND,40.752247,-73.993456
34 ST-PENN STA,ACE,IND,40.752247,-73.993456
34 ST-PENN STA,ACE,IND,40.752247,-73.993456
34 ST-PENN STA,ACE,IND,40.752247,-73.993456
34 ST-PENN STA,ACE,IND,40.752247,-73.993456
34 ST-PENN STA,ACE,IND,40.752247,-73.993456
34 ST-PENN STA,ACE,IND,40.752247,-73.993456
28 ST,1,IRT,40.747224,-73.99336
28 ST,1,IRT,40.747224,-73.99336
34 ST-PENN STA,123ACE,IRT,40.750264,-73.992984
34 ST-PENN STA,123ACE,IRT,40.750264,-73.992984
TWENTY THIRD ST,1,PTH,40.742933,-73.992909
CLARK ST,23,IRT,40.697356,-73.992888
PROSPECT AVE,R,BMT,40.665405,-73.992877
PROSPECT AVE,R,BMT,40.665438,-73.992856
23 ST-6 AVE,FM,IND,40.742868,-73.99277
23 ST-6 AVE,FM,IND,40.742981,-73.992727
8 ST-B'WAY NYU,NR,BMT,40.730348,-73.992705
8 ST-B'WAY NYU,NR,BMT,40.730348,-73.992705
34 ST-PENN STA,123,IRT,40.750329,-73.991096
34 ST-PENN STA,123,IRT,40.750329,-73.991096
34 ST-PENN STA,123,IRT,40.750329,-73.991096
34 ST-PENN STA,123,IRT,40.750329,-73.991096
ASTOR PLACE,6,IRT,40.730056,-73.991042
